Competition Name,# of Competitors,Description of Event,Example Competition Materials,Who are we Looking For?
3-D visualization and Animation,6 Teams of 2,"Contestants will produce high quality images and an animated short subject using 3-D computerized images. Students are evaluated on their technical knowledge, production skills and creative abilities – including visual development and storyboarding.","- Laptop, Production/Creativity Knowledge",
Advertising Design,3 Teams of 1,"This contest evaluates technical skills and creative aptitude as though contestants worked for an ad agency, in-house marketing team, or as a freelance creative. In addition to a written test, competitors will create multiple marketing asset(s) (ie. advertisement, promotional material, etc) using design software. Competitors are judged on their accuracy to project specifications, proficiency with industry software, ability to meet a deadline and creative application for a compelling piece.","- Laptop, Pencil, Advertising/Finance/Industry Knowledge","Someone that is good at designing, ask for previous designs that they may have made. any experience in social media for clubs. if they are familiar with any design software. maybe used it for school projects"
Graphic Communications,3 Teams of 1,"Student competitors will compete in the following contest segments: Preparing a production layout to customer specifications, creating and preflighting a print-ready file using Adobe software, solving production planning challenges, and taking a graphic communications knowledge exam.","- Laptop, Pencil, Design/Adobe/Graphic Communications/Customer Knowledge",media skills + creativity 
Pin Design (State Conference),3 Teams of 1,"The contest is designed to assess the contestant's ability to design and produce a trading pin concept for their State SkillsUSA association. In addition, contestants must create an informative, educational, and promotional tabletop display, and deliver a presentation to the contest judge(s) regarding all aspects of their state pin design.",Only 1,Someone that likes art. Has done it before. if they pick this event ask them to send some art that they have done. 
T-Shirt Design,4 Teams of 1,"The contest is designed to assess the ability of the competitor to design and produce a drawing of that design, as well as give a presentation.","- Laptop, Drawing/Creativity Knowledge",Someone that likes art. Has done it before. if they pick this event ask them to send some art that they have done. 
,,,,
6 competitions,28 competitors,,,
